horizon,realized_mean_len,frac_shorter_than_H,test_n,probe_cosine,probe_best_layer,rollout_m3,rollout_m5,rollout_m10,rollout_m20,best_rollout,best_rollout_m,delta_best_rollout,probe_extra_decode_steps,rollout_m3_cosine_per_extra_decode_step,rollout_m5_cosine_per_extra_decode_step,rollout_m10_cosine_per_extra_decode_step,rollout_m20_cosine_per_extra_decode_step,best_rollout_cosine_per_extra_decode_step,probe_vs_best_rollout_at_best_rollout_compute
16,16.0,0.0,90,0.43897810538085125,20,0.4246751504541842,0.6099908574369346,0.8319288903384835,0.938147511617639,0.938147511617639,20,-0.49916940623678774,0,0.14155838348472807,0.12199817148738692,0.08319288903384835,0.04690737558088195,0.04690737558088195,-0.49916940623678774
48,48.0,0.0,90,0.4191475672773907,20,0.33722306999316964,0.49180954066666627,0.6787335849862093,0.859946004387479,0.859946004387479,20,-0.4407984371100883,0,0.11240768999772321,0.09836190813333326,0.06787335849862093,0.04299730021937395,0.04299730021937395,-0.4407984371100883
96,95.69666666666667,0.015,90,0.40614725342000124,20,0.2995400886315337,0.43640306916607924,0.6060318624093901,0.7797749838858047,0.7797749838858047,20,-0.37362773046580344,0,0.09984669621051123,0.08728061383321585,0.06060318624093901,0.03898874919429023,0.03898874919429023,-0.37362773046580344
