model,k,raw_alpha,semantic_score,random_score,margin,num_prompts
pythia-410m,0.005,0.2403837776184082,-0.0015087196370586753,-0.010035219602286816,0.00852649996522814,40
pythia-410m,0.01,0.4807675552368164,-0.001388254459016025,-0.009366297163069248,0.007978042704053223,40
pythia-410m,0.02,0.9615351104736328,-0.0059814779087901115,-0.00902477651834488,0.0030432986095547676,40
pythia-410m,0.04,1.9230702209472657,-0.00888793170452118,-0.008869105949997902,-1.8825754523277283e-05,40
pythia-410m,0.08,3.8461404418945313,-0.0058271316811442375,-0.00179539923556149,-0.0040317324455827475,40
pythia-410m,0.16,7.692280883789063,-0.013793626800179482,-0.006061541847884655,-0.0077320849522948265,40
pythia-410m,0.4,19.230702209472657,-0.012132642790675163,-0.0019300368148833513,-0.010202605975791812,40
pythia-410m,0.8,38.461404418945314,-0.004187495447695255,-0.0025526401586830616,-0.0016348552890121937,40
pythia-410m,1.6,76.92280883789063,-0.0065436651930212975,0.0022944114170968533,-0.00883807661011815,40
pythia-410m,3.2,153.84561767578126,0.028415128588676453,0.011140179820358753,0.0172749487683177,40
pythia-410m,6.4,307.6912353515625,0.06690037250518799,4.163142148172483e-05,0.06685874108370626,40
pythia-1.0b,0.005,0.4577726745605469,0.00016940952627919614,0.0018202224746346474,-0.0016508129483554512,40
pythia-1.0b,0.01,0.9155453491210938,1.8998329323949292e-05,-0.000638640602119267,0.0006576389314432163,40
pythia-1.0b,0.02,1.8310906982421875,-0.0006196422618813813,0.0010554241016507149,-0.0016750663635320961,40
pythia-1.0b,0.04,3.662181396484375,-0.0004502327064983547,-0.0015799453249201179,0.0011297126184217632,40
pythia-1.0b,0.08,7.32436279296875,0.0003092743572779,-0.001353661878965795,0.001662936236243695,40
pythia-1.0b,0.16,14.6487255859375,-9.083375516638625e-06,-0.003218590747565031,0.0032095073720483924,40
pythia-1.0b,0.4,36.62181396484375,0.0017810084391385317,-0.002234946470707655,0.004015954909846187,40
pythia-1.0b,0.8,73.2436279296875,0.009115347638726234,0.006015025079250336,0.0031003225594758987,40
pythia-1.0b,1.6,146.487255859375,0.00845908559858799,0.010794323869049549,-0.0023352382704615593,40
pythia-1.0b,3.2,292.97451171875,0.004558993969112635,0.004954448901116848,-0.00039545493200421333,40
pythia-1.0b,6.4,585.9490234375,0.00020547751046251506,0.0048807477578520775,-0.004675270247389562,40
pythia-1.4b,0.005,0.8660239410400391,0.004020812921226025,0.0006331022595986724,0.0033877106616273522,40
pythia-1.4b,0.01,1.7320478820800782,0.0024762828834354877,0.0009974088752642274,0.0014788740081712604,40
pythia-1.4b,0.02,3.4640957641601564,0.004352040123194456,0.0018219206249341369,0.0025301194982603192,40
pythia-1.4b,0.04,6.928191528320313,0.004092453513294458,-0.0025988142006099224,0.006691267713904381,40
pythia-1.4b,0.08,13.856383056640626,0.0008108268375508487,-0.002904245164245367,0.0037150720017962158,40
pythia-1.4b,0.16,27.71276611328125,0.004044307395815849,-0.0004227565659675747,0.004467063961783424,40
pythia-1.4b,0.4,69.28191528320313,0.009766807779669762,0.019872870296239853,-0.010106062516570091,40
pythia-1.4b,0.8,138.56383056640627,0.015109473839402199,0.011573994532227516,0.0035354793071746826,40
pythia-1.4b,1.6,277.12766113281253,0.02390453591942787,0.0413680262863636,-0.01746349036693573,40
pythia-1.4b,3.2,554.2553222656251,0.035270631313323975,0.03172864764928818,0.003541983664035797,40
pythia-1.4b,6.4,1108.5106445312501,0.06396518647670746,0.0248880535364151,0.03907713294029236,40
pythia-2.8b,0.005,1.3616935729980468,0.0,-0.0023453696630895138,0.0023453696630895138,40
pythia-2.8b,0.01,2.7233871459960937,0.000844737864099443,-0.0023453696630895138,0.0031901075271889567,40
pythia-2.8b,0.02,5.446774291992187,0.0013086798135191202,0.0,0.0013086798135191202,40
pythia-2.8b,0.04,10.893548583984375,0.0007654186338186264,-0.0026065597776323557,0.003371978411450982,40
pythia-2.8b,0.08,21.78709716796875,-0.003801843151450157,-0.0006754245841875672,-0.00312641856726259,40
pythia-2.8b,0.16,43.5741943359375,-0.005554293282330036,-0.008215648122131824,0.0026613548398017883,40
pythia-2.8b,0.4,108.93548583984375,0.0014591433573514223,0.0037811361253261566,-0.0023219927679747343,40
pythia-2.8b,0.8,217.8709716796875,0.004220110364258289,0.01387807261198759,-0.009657962247729301,40
pythia-2.8b,1.6,435.741943359375,-0.00350586767308414,0.008945241570472717,-0.012451109243556857,40
pythia-2.8b,3.2,871.48388671875,0.008950535207986832,-0.0008437045034952462,0.009794239711482078,40
pythia-2.8b,6.4,1742.9677734375,0.0018041521543636918,0.012919771485030651,-0.01111561933066696,40
