model,layer,mean_hidden_norm,std_hidden_norm,median_hidden_norm,count
pythia-410m,20,48.07675552368164,4.963259696960449,49.35204315185547,83
pythia-1.0b,13,91.55453491210938,9.189315795898438,93.27313232421875,83
pythia-1.4b,20,173.2047882080078,20.61464500427246,177.10614013671875,83
pythia-2.8b,27,272.3387145996094,101.81549072265625,271.879150390625,83
