model,old_raw_alpha,mean_hidden_norm,old_implied_k,best_k_pilot,new_raw_alpha,old_semantic_score,old_random_score,old_margin,new_semantic_score,new_random_score,new_margin,delta_margin,pilot_num_prompts,test_num_prompts,old_semantic_score_fresh_rerun,old_random_score_fresh_rerun,old_margin_fresh_rerun,std_hidden_norm,median_hidden_norm
pythia-410m,99.11671447753906,48.07675552368164,2.061634846151716,6.4,307.6912353515625,0.007141379173845053,0.0037093840073794127,0.00343199516646564,0.05376667156815529,0.0003751793992705643,0.053391492168884724,0.049959497002419084,40,60,0.005309425760060549,0.0005178295541554689,0.00479159620590508,4.963259696960449,49.35204315185547
pythia-1.0b,200.23184204101562,91.55453491210938,2.187022655221114,0.4,36.62181396484375,0.024559980258345604,0.013285375200212002,0.011274605058133602,0.0036823551636189222,-0.0006358287064358592,0.0043181838700547814,-0.006956421188078821,40,60,0.020124657079577446,0.008449961431324482,0.011674695648252964,9.189315795898438,93.27313232421875
pythia-1.4b,271.2640075683594,173.2047882080078,1.56614612318101,6.4,1108.5106445312501,0.01134867500513792,0.002984504448249936,0.008364170556887984,0.0390423983335495,0.0037404601462185383,0.03530193818733096,0.026937767630442977,40,60,0.008580249734222889,-0.001222694292664528,0.009802944026887417,20.61464500427246,177.10614013671875
pythia-2.8b,576.7410278320312,272.3387145996094,2.117734265875317,3.2,871.48388671875,0.012918556109070778,0.012876274064183235,4.2282044887542725e-05,0.014312511309981346,0.013295321725308895,0.001017189584672451,0.0009749075397849083,40,60,0.013433854095637798,0.010312391445040703,0.0031214626505970955,101.81549072265625,271.879150390625
