model,k,seed_or_split_id,margin,semantic_score,random_score,raw_alpha,num_prompts
pythia-1.0b,0.05,pilot_val_seed42,0.0011297126184217632,-0.0004502327064983547,-0.0015799453249201179,4.577726745605469,40
pythia-1.0b,0.1,pilot_val_seed42,0.002506679215002805,0.0003092743572779,-0.002197404857724905,9.155453491210938,40
pythia-1.0b,0.2,pilot_val_seed42,0.009620891534723341,0.0010174053022637963,-0.008603486232459545,18.310906982421876,40
pythia-1.0b,0.3,pilot_val_seed42,0.00820413138717413,0.0009868917986750603,-0.007217239588499069,27.46636047363281,40
pythia-1.0b,0.4,pilot_val_seed42,0.004015954909846187,0.0017810084391385317,-0.002234946470707655,36.62181396484375,40
pythia-1.0b,0.6,pilot_val_seed42,0.0016961328219622374,0.005151011049747467,0.0034548782277852297,54.93272094726562,40
pythia-1.0b,0.8,pilot_val_seed42,0.0031003225594758987,0.009115347638726234,0.006015025079250336,73.2436279296875,40
pythia-1.0b,1.0,pilot_val_seed42,-0.003584763966500759,0.010385988280177116,0.013970752246677876,91.55453491210938,40
pythia-1.0b,1.6,pilot_val_seed42,-0.0023352382704615593,0.00845908559858799,0.010794323869049549,146.487255859375,40
pythia-1.0b,2.4,pilot_val_seed42,-0.0036784764379262924,0.0056497082114219666,0.009328184649348259,219.7308837890625,40
pythia-1.0b,3.2,pilot_val_seed42,-0.00039545493200421333,0.004558993969112635,0.004954448901116848,292.97451171875,40
pythia-1.0b,4.8,pilot_val_seed42,-0.0012284490512683988,0.001780382706783712,0.0030088317580521107,439.461767578125,40
pythia-1.0b,6.4,pilot_val_seed42,-0.004675270247389562,0.00020547751046251506,0.0048807477578520775,585.9490234375,40
pythia-1.0b,8.0,pilot_val_seed42,-0.008741698460653424,-0.002079299883916974,0.00666239857673645,732.436279296875,40
