model,n_seeds,best_k,mean_margin,std_margin,sem_margin,ci95_low,ci95_high,min_margin,max_margin
pythia-410m,5,6.4,0.056472095451317726,0.010959663025129317,0.004901310306936028,0.0428638764405697,0.07008031446206575,0.043777444399893284,0.071236252784729
pythia-1.0b,5,0.2,-2.0035472698509692e-05,0.002458589432429222,0.0010995146199348732,-0.0030727774573101004,0.0030327065119130814,-0.002298170991707593,0.004113870149012655
pythia-1.4b,5,6.4,0.0403575612232089,0.005537659529914902,0.00247651662902785,0.03348164875060359,0.04723347369581422,0.03253799234516919,0.04778221808373928
pythia-2.8b,5,3.2,0.00867582024075091,0.0029841016982758628,0.0013345308498234792,0.004970568595023059,0.012381071886478759,0.005677085369825363,0.013176503591239452
