comparison,focal_model,comparator_model,mean_diff,focal_mean,comparator_mean,focal_ci95_low,focal_ci95_high,comparator_ci95_low,comparator_ci95_high,ci_overlap
1p0b_minus_410m,pythia-1.0b,pythia-410m,-0.05649213092401623,-2.0035472698509692e-05,0.056472095451317726,-0.0030727774573101004,0.0030327065119130814,0.0428638764405697,0.07008031446206575,False
1p0b_minus_1p4b,pythia-1.0b,pythia-1.4b,-0.04037759669590741,-2.0035472698509692e-05,0.0403575612232089,-0.0030727774573101004,0.0030327065119130814,0.03348164875060359,0.04723347369581422,False
2p8b_minus_410m,pythia-2.8b,pythia-410m,-0.04779627521056681,0.00867582024075091,0.056472095451317726,0.004970568595023059,0.012381071886478759,0.0428638764405697,0.07008031446206575,False
2p8b_minus_1p4b,pythia-2.8b,pythia-1.4b,-0.03168174098245799,0.00867582024075091,0.0403575612232089,0.004970568595023059,0.012381071886478759,0.03348164875060359,0.04723347369581422,False
