model,model_name,params,n_layers,best_layer,best_test_cosine,mean_baseline_cosine,cosine_gain_over_mean,random_match_cosine,recall_at_5,chance_recall_at_5,steering_effect_semantic,steering_effect_random,steering_margin,steering_alpha
pythia-410m,EleutherAI/pythia-410m,405334016,24,20,0.4260184860374043,0.23073392977343388,0.1952845562639704,0.054335577429499377,0.8072289156626506,0.060240963855421686,0.007141379173845053,0.0037093840073794127,0.00343199516646564,99.11671447753906
pythia-1.0b,EleutherAI/pythia-1b,1011781632,16,13,0.4019609994779997,0.22404712572987867,0.177913873748121,0.02937572658391626,0.6867469879518072,0.060240963855421686,0.024559980258345604,0.013285375200212002,0.011274605058133602,200.23184204101562
pythia-1.4b,EleutherAI/pythia-1.4b,1414647808,24,20,0.4282612058059962,0.23099573547281493,0.19726547033318126,0.061562562192466724,0.7590361445783133,0.060240963855421686,0.01134867500513792,0.002984504448249936,0.008364170556887984,271.2640075683594
pythia-2.8b,EleutherAI/pythia-2.8b,2775208960,32,27,0.4312234267626699,0.2241324352068837,0.2070909915557862,0.055534162937832164,0.8433734939759037,0.060240963855421686,0.012918556109070778,0.012876274064183235,4.2282044887542725e-05,576.7410278320312
