layer,k,alpha,pilot_margin_mean,pilot_margin_std,n_examples,selected_for_layer
16,0.3,28.008663940429688,0.012721041217446327,0.047997891902923584,40,False
16,0.4,37.34488525390625,0.0008117627585306764,0.04664690047502518,40,False
16,0.6,56.017327880859376,-0.0013696372043341398,0.06066305935382843,40,False
16,0.8,74.6897705078125,0.004970177076756954,0.06041277199983597,40,False
16,1.0,93.36221313476562,0.0338609404861927,0.0794571191072464,40,True
16,1.6,149.379541015625,0.003956376109272242,0.06460394710302353,40,False
16,2.4,224.0693115234375,0.01004549115896225,0.0636754184961319,40,False
16,3.2,298.75908203125,0.014051553793251514,0.06888632476329803,40,False
16,4.8,448.138623046875,0.01877138391137123,0.05410715192556381,40,False
16,6.4,597.5181640625,0.009325317107141018,0.05088141933083534,40,False
16,8.0,746.897705078125,0.00423812959343195,0.054230984300374985,40,False
20,0.05,8.660411834716797,0.004984979517757893,0.03867826610803604,40,False
20,0.1,17.320823669433594,0.0056437342427670956,0.0333423987030983,40,False
20,0.2,34.64164733886719,0.003464320208877325,0.04113125428557396,40,False
20,0.3,51.96247100830078,-0.011714042164385319,0.05398452281951904,40,False
20,0.4,69.28329467773438,-0.004958075471222401,0.05193044990301132,40,False
20,0.6,103.92494201660156,0.004134730901569128,0.05801455304026604,40,False
20,0.8,138.56658935546875,0.004395638592541218,0.05435271933674812,40,False
20,1.0,173.20823669433594,-0.009073074907064438,0.06568427383899689,40,False
20,1.6,277.1331787109375,-0.02129662036895752,0.08292616903781891,40,False
20,2.4,415.69976806640625,0.0011133268708363175,0.05207601934671402,40,False
20,3.2,554.266357421875,0.007694958243519068,0.05548255145549774,40,False
20,4.8,831.3995361328125,0.006096869707107544,0.07080234587192535,40,False
20,6.4,1108.53271484375,0.036233965307474136,0.06863526999950409,40,False
20,8.0,1385.6658935546875,0.04768841341137886,0.05915602296590805,40,True
24,0.05,5.444165802001954,-0.0009099535527639091,0.028435222804546356,40,False
24,0.1,10.888331604003907,0.0032073333859443665,0.032325901091098785,40,False
24,0.2,21.776663208007815,-0.002969558583572507,0.03515802323818207,40,False
24,0.3,32.66499481201172,-0.004302627872675657,0.0368073545396328,40,False
24,0.4,43.55332641601563,-0.00152516586240381,0.03676789253950119,40,False
24,0.6,65.32998962402344,-0.002843659371137619,0.047854918986558914,40,False
24,0.8,87.10665283203126,-0.0009073294932022691,0.04541591554880142,40,False
24,1.0,108.88331604003906,-0.003302282188087702,0.06322552263736725,40,False
24,1.6,174.21330566406252,-0.01616303063929081,0.06770715862512589,40,False
24,2.4,261.31995849609376,-0.002529866062104702,0.06821189820766449,40,False
24,3.2,348.42661132812503,0.01167299970984459,0.07004354894161224,40,False
24,4.8,522.6399169921875,0.025416210293769836,0.07672447711229324,40,False
24,6.4,696.8532226562501,0.02356552705168724,0.07831471413373947,40,False
24,8.0,871.0665283203125,0.025443583726882935,0.0806206464767456,40,True
