layer,probe_val_cosine,probe_test_cosine,probe_best_alpha,mean_hidden_norm_val
0,0.25911059975624084,0.2774888575077057,10,0.8884814977645874
4,0.3114483058452606,0.336347371339798,1000.0,37.6500129699707
8,0.32327643036842346,0.3412328362464905,1000.0,48.307701110839844
12,0.34319770336151123,0.3669538199901581,1000.0,57.81708908081055
16,0.37287256121635437,0.4066373109817505,1000.0,93.36221313476562
20,0.3996448218822479,0.42827942967414856,10000.0,173.20823669433594
24,0.3952431380748749,0.4219896197319031,10000.0,108.88331604003906
