layer,selected_k,mean_hidden_norm_val,final_alpha
1,1.6,0.8884814977645874,1.42157039642334
4,0.1,37.6500129699707,3.7650012969970703
8,1.0,48.307701110839844,48.307701110839844
12,0.2,57.81708908081055,11.56341781616211
16,1.0,93.36221313476562,93.36221313476562
20,8.0,173.20823669433594,1385.6658935546875
24,8.0,108.88331604003906,871.0665283203125
