layer,seed,margin,semantic_score,random_score,selected_k,final_alpha,num_prompts
1,101,0.0022192314791027457,0.0020325102377682924,-0.00018672124133445323,1.6,1.42157039642334,60
1,202,0.002991915913298726,0.001117429113946855,-0.001874486799351871,1.6,1.42157039642334,60
1,303,0.002440789481624961,-0.001104538096114993,-0.003545327577739954,1.6,1.42157039642334,60
1,404,0.0003543267957866192,-0.002067199209704995,-0.0024215260054916143,1.6,1.42157039642334,60
1,505,-0.0030476610409095883,-0.0016419278690591455,0.0014057331718504429,1.6,1.42157039642334,60
4,101,-0.0042670764378272,-0.0005577611154876649,0.0037093153223395348,0.1,3.7650012969970703,60
4,202,0.0010008200770244002,-0.0013954919995740056,-0.002396312076598406,0.1,3.7650012969970703,60
4,303,-0.001977285137400031,-0.0010162049438804388,0.0009610801935195923,0.1,3.7650012969970703,60
4,404,0.002021591877564788,0.0006696057971566916,-0.0013519860804080963,0.1,3.7650012969970703,60
4,505,-0.0021586110815405846,-0.0005755012389272451,0.0015831098426133394,0.1,3.7650012969970703,60
8,101,-0.0020235066767781973,-0.004960560705512762,-0.0029370540287345648,1.0,48.307701110839844,60
8,202,-0.003506193112116307,-0.0043348344042897224,-0.0008286412921734154,1.0,48.307701110839844,60
8,303,0.0015852348878979683,-0.01038272399455309,-0.011967958882451057,1.0,48.307701110839844,60
8,404,0.012391568860039115,-0.0020983482245355844,-0.0144899170845747,1.0,48.307701110839844,60
8,505,0.003192562027834356,-0.0017366480315104127,-0.0049292100593447685,1.0,48.307701110839844,60
12,101,0.00019741803407669067,-0.0032479071523994207,-0.0034453251864761114,0.2,11.56341781616211,60
12,202,0.006781238596886396,-0.0016788453795015812,-0.008460083976387978,0.2,11.56341781616211,60
12,303,-0.0035873724264092743,-0.004280048422515392,-0.000692675996106118,0.2,11.56341781616211,60
12,404,0.004085098393261433,-0.003951375372707844,-0.008036473765969276,0.2,11.56341781616211,60
12,505,0.0006684911204501987,-0.001457502949051559,-0.0021259940695017576,0.2,11.56341781616211,60
16,101,-0.007290806155651808,-0.009839373640716076,-0.002548567485064268,1.0,93.36221313476562,60
16,202,-0.004929079208523035,-0.011640145443379879,-0.006711066234856844,1.0,93.36221313476562,60
16,303,-0.0032557696104049683,-0.01930050738155842,-0.01604473777115345,1.0,93.36221313476562,60
16,404,-0.012324355309829116,-0.01565674878656864,-0.003332393476739526,1.0,93.36221313476562,60
16,505,-0.00928256445331499,-0.01024602074176073,-0.0009634562884457409,1.0,93.36221313476562,60
20,101,0.05187256960198283,0.04739399999380112,-0.004478569608181715,8.0,1385.6658935546875,60
20,202,0.04139853361994028,0.0445871502161026,0.003188616596162319,8.0,1385.6658935546875,60
20,303,0.044437071308493614,0.03561689332127571,-0.008820177987217903,8.0,1385.6658935546875,60
20,404,0.05203668028116226,0.042406536638736725,-0.009630143642425537,8.0,1385.6658935546875,60
20,505,0.03610270330682397,0.04361359030008316,0.0075108869932591915,8.0,1385.6658935546875,60
24,101,0.03154791705310345,0.02269967831671238,-0.008848238736391068,8.0,871.0665283203125,60
24,202,0.030708747915923595,0.022420410066843033,-0.008288337849080563,8.0,871.0665283203125,60
24,303,0.037146108224987984,0.014866303652524948,-0.022279804572463036,8.0,871.0665283203125,60
24,404,0.016428873175755143,0.01260002888739109,-0.0038288442883640528,8.0,871.0665283203125,60
24,505,0.04034734610468149,0.025943603366613388,-0.014403742738068104,8.0,871.0665283203125,60
