Encoder,H,m,mean_S_probe,mean_S_rollout,mean_Delta,CI_low,CI_high,excludes_zero
BGE,16,5,0.6982433643361368,0.7365828989070877,-0.03833953457095117,-0.06087270700704567,-0.015484029635757962,True
BGE,16,10,0.6982433643361368,0.8884983020825197,-0.19025493774638286,-0.20649418393106214,-0.174722028919284,True
BGE,16,20,0.6982433643361368,0.9472349661499516,-0.24899160181381474,-0.2632927594243113,-0.2351242442371086,True
BGE,48,3,0.7137644856881122,0.6023598424890619,0.11140464319905012,0.09274828088582968,0.1297614154670886,True
BGE,48,5,0.7137644856881122,0.6778389398703792,0.035925545817732996,0.015773836270008192,0.05543861973187521,True
BGE,48,10,0.7137644856881122,0.7968803539779054,-0.08311586828979337,-0.0989534642450312,-0.0670979435761539,True
BGE,48,20,0.7137644856881122,0.9023190750159196,-0.18855458932780744,-0.20251068494912644,-0.17466396308976634,True
BGE,96,3,0.7242588850893223,0.5916436861258652,0.13261519896345736,0.11460935018996457,0.15035999914757603,True
BGE,96,5,0.7242588850893223,0.6599148544854349,0.0643440306038874,0.04411541747587597,0.08378779047433776,True
BGE,96,10,0.7242588850893223,0.7638961816073382,-0.03963729651801565,-0.05648212226281866,-0.022679657996951364,True
BGE,96,20,0.7242588850893223,0.8624029373551603,-0.13814405226583815,-0.1527126937863147,-0.12385115901970713,True
BGE,192,3,0.7447806651904473,0.5899012347231034,0.15487943046734406,0.1363160824784775,0.17257448458188288,True
BGE,192,5,0.7447806651904473,0.6558501779697378,0.0889304872207096,0.06826518338956365,0.10899192216174056,True
BGE,192,10,0.7447806651904473,0.7543630805202768,-0.009582415329829367,-0.027998693763677134,0.008561448776894074,False
BGE,192,20,0.7447806651904473,0.8463160067670832,-0.10153534157663575,-0.11712328543119115,-0.08570070183023842,True
BGE,256,3,0.7473115827542368,0.584898985142978,0.16241259761125876,0.14376776748170586,0.1803628628973995,True
BGE,256,5,0.7473115827542368,0.6500566458732352,0.09725493688100163,0.07632794877318412,0.11751004105306588,True
BGE,256,10,0.7473115827542368,0.7460763095760083,0.0012352731782283406,-0.017482047642915326,0.019717061274992558,False
BGE,256,20,0.7473115827542368,0.8369422122417146,-0.08963062948747785,-0.10586592604157806,-0.07295697638031182,True
E5,16,3,0.8640997913786735,0.8126470513324561,0.05145274004621742,0.042434321305014684,0.06040389363095127,True
E5,16,5,0.8640997913786735,0.8554324177289417,0.008667373649732045,-0.0007925613065767633,0.018063159021790606,False
E5,16,10,0.8640997913786735,0.9352789917350786,-0.07117920035640503,-0.07878372518629051,-0.06375939494409226,True
E5,16,20,0.8640997913786735,0.9689669450073154,-0.10486715362864184,-0.11094561237784085,-0.09876293343762554,True
E5,48,3,0.8656409904609677,0.7832166004803579,0.08242438998060957,0.07497279404812433,0.0896833341102273,True
E5,48,5,0.8656409904609677,0.8136098553898022,0.052031135071165475,0.04333623529560968,0.06036519792106839,True
E5,48,10,0.8656409904609677,0.8686650066580321,-0.0030240161970645284,-0.011276133981523858,0.005100747808207701,False
E5,48,20,0.8656409904609677,0.9357145071840061,-0.07007351672303835,-0.07682060009071676,-0.06336806495164386,True
E5,96,3,0.8616137922058682,0.7727897030919529,0.08882408911391515,0.08107890219536838,0.09621245078192311,True
E5,96,5,0.8616137922058682,0.8004562476753014,0.06115754453056696,0.05198120622356011,0.06996762217404416,True
