layer,selected_k,hidden_state_norm_stat_used,final_alpha
0,1.0,31.08577537536621,31.08577537536621
3,2.4,36.44755172729492,87.47412414550782
5,8.0,45.143096923828125,361.144775390625
8,8.0,50.195640563964844,401.56512451171875
10,1.6,57.59490966796875,92.15185546875
12,0.2,91.55549621582031,18.311099243164062
15,3.2,100.6389389038086,322.04460449218755
