layer,hs_index,probe_val_cosine,probe_test_cosine,probe_best_alpha,mean_hidden_norm_val
0,1,0.2898176908493042,0.3067813217639923,1000.0,31.08577537536621
3,4,0.3011617362499237,0.31917622685432434,1000.0,36.44755172729492
5,6,0.30221137404441833,0.3269651532173157,1000.0,45.143096923828125
8,9,0.3194078505039215,0.34249740839004517,1000.0,50.195640563964844
10,11,0.3456713557243347,0.3861991763114929,1000.0,57.59490966796875
12,13,0.3627082109451294,0.4019611179828644,10000.0,91.55549621582031
15,16,0.3813242018222809,0.41161030530929565,10000.0,100.6389389038086
