layer,n_seeds,mean_margin,std_margin,ci95_low,ci95_high,selected_k,final_alpha
0,5,0.004160248569678515,0.004785479401795369,-0.0017817089176764798,0.01010220605703351,1.0,31.08577537536621
3,5,-0.013779331045225263,0.006709238180323864,-0.02210995054910754,-0.005448711541342988,2.4,87.47412414550782
5,5,0.031672344030812385,0.00700330516541314,0.02297659213848443,0.04036809592314034,8.0,361.144775390625
8,5,0.012678738075192087,0.00692436990931039,0.004080997248555913,0.02127647890182826,8.0,401.56512451171875
10,5,0.007239260633650701,0.00440205456402884,0.0017733879633675242,0.012705133303933878,1.6,92.15185546875
12,5,0.00019132444285787641,0.0026241116430548426,-0.003066940511590648,0.0034495893973064008,0.2,18.311099243164062
15,5,0.001691247196868062,0.006229981669657902,-0.006044296751815531,0.009426791145551654,3.2,322.04460449218755
