layer,seed,margin,semantic_score,random_score,selected_k,final_alpha,num_prompts
0,101,0.0017983340076170862,0.0013091060100123286,-0.0004892279976047575,1.0,31.08577537536621,60
0,202,0.009544656611979008,0.004729535896331072,-0.004815120715647936,1.0,31.08577537536621,60
0,303,-0.0004986803978681564,0.0039575593546032906,0.004456239752471447,1.0,31.08577537536621,60
0,404,0.009100855328142643,0.007006493397057056,-0.0020943619310855865,1.0,31.08577537536621,60
0,505,0.0008560772985219955,-0.00556915020570159,-0.006425227504223585,1.0,31.08577537536621,60
3,101,-0.004868272691965103,-0.008162680082023144,-0.0032944073900580406,2.4,87.47412414550782,60
3,202,-0.015035157557576895,-0.0044007510878145695,0.010634406469762325,2.4,87.47412414550782,60
3,303,-0.01646900037303567,-0.0032504363916814327,0.013218563981354237,2.4,87.47412414550782,60
3,404,-0.009957006433978677,-0.0026178841944783926,0.007339122239500284,2.4,87.47412414550782,60
3,505,-0.02256721816956997,-0.0112822987139225,0.011284919455647469,2.4,87.47412414550782,60
5,101,0.02984448685310781,0.03242876008152962,0.0025842732284218073,8.0,361.144775390625,60
5,202,0.036694593261927366,0.04295609891414642,0.006261505652219057,8.0,361.144775390625,60
5,303,0.040807497687637806,0.05102336034178734,0.010215862654149532,8.0,361.144775390625,60
5,404,0.023487521335482597,0.04560336098074913,0.022115839645266533,8.0,361.144775390625,60
5,505,0.027527621015906334,0.03559165075421333,0.008064029738307,8.0,361.144775390625,60
8,101,0.009506686590611935,0.018680116161704063,0.009173429571092129,8.0,401.56512451171875,60
8,202,0.0052926065400242805,0.013411098159849644,0.008118491619825363,8.0,401.56512451171875,60
8,303,0.016945443116128445,0.023926585912704468,0.006981142796576023,8.0,401.56512451171875,60
8,404,0.009147103875875473,0.024224290624260902,0.01507718674838543,8.0,401.56512451171875,60
8,505,0.0225018502533203,0.022446224465966225,-5.562578735407442e-05,8.0,401.56512451171875,60
10,101,0.004356206627562642,0.007606093306094408,0.003249886678531766,1.6,92.15185546875,60
10,202,0.004741731216199696,0.005699555389583111,0.0009578241733834147,1.6,92.15185546875,60
10,303,0.007737691514194012,0.01944235898554325,0.01170466747134924,1.6,92.15185546875,60
10,404,0.014720006729476154,0.01658349484205246,0.0018634881125763059,1.6,92.15185546875,60
10,505,0.004640667080821004,0.004518925212323666,-0.00012174186849733815,1.6,92.15185546875,60
12,101,6.603985093533993e-05,-0.001255452516488731,-0.0013214923674240708,0.2,18.311099243164062,60
12,202,-0.002068286092253402,-0.0022166587878018618,-0.0001483726955484599,0.2,18.311099243164062,60
12,303,0.004679066070821136,0.0006758449017070234,-0.004003221169114113,0.2,18.311099243164062,60
12,404,-0.0006710154411848634,-0.00033436741796322167,0.0003366480232216418,0.2,18.311099243164062,60
12,505,-0.0010491821740288287,-0.000768996134866029,0.0002801860391627997,0.2,18.311099243164062,60
15,101,-0.00612600171007216,-0.009594053030014038,-0.0034680513199418783,3.2,322.04460449218755,60
15,202,-0.0038451794534921646,-0.010103896260261536,-0.006258716806769371,3.2,322.04460449218755,60
15,303,0.007580144098028541,0.003491167211905122,-0.004088976886123419,3.2,322.04460449218755,60
15,404,0.006112374132499099,0.003922126721590757,-0.0021902474109083414,3.2,322.04460449218755,60
15,505,0.004734898917376995,-0.010893926955759525,-0.01562882587313652,3.2,322.04460449218755,60
