layer,k,alpha_mean_or_formula_inputs,pilot_margin_mean,pilot_margin_std,n_examples_or_trials,selected_for_layer
8,4.8,k=4.8*mean_hidden_norm=50.1956=alpha=240.9391,0.008999486453831196,0.07226747274398804,40,False
8,6.4,k=6.4*mean_hidden_norm=50.1956=alpha=321.2521,0.005660317372530699,0.07842309772968292,40,False
8,8.0,k=8.0*mean_hidden_norm=50.1956=alpha=401.5651,0.0279233455657959,0.09055361151695251,40,True
10,0.05,k=0.05*mean_hidden_norm=57.5949=alpha=2.8797,0.0031828545033931732,0.014127634465694427,40,False
10,0.1,k=0.1*mean_hidden_norm=57.5949=alpha=5.7595,0.007089423947036266,0.020174875855445862,40,False
10,0.2,k=0.2*mean_hidden_norm=57.5949=alpha=11.5190,0.0026794809382408857,0.030107198283076286,40,False
10,0.3,k=0.3*mean_hidden_norm=57.5949=alpha=17.2785,0.0020129443146288395,0.03514785319566727,40,False
10,0.4,k=0.4*mean_hidden_norm=57.5949=alpha=23.0380,0.002330934163182974,0.05143405869603157,40,False
10,0.6,k=0.6*mean_hidden_norm=57.5949=alpha=34.5569,0.0035820347256958485,0.04253939911723137,40,False
10,0.8,k=0.8*mean_hidden_norm=57.5949=alpha=46.0759,0.0027714294847100973,0.0367216058075428,40,False
10,1.0,k=1.0*mean_hidden_norm=57.5949=alpha=57.5949,0.0009395420784130692,0.04350338131189346,40,False
10,1.6,k=1.6*mean_hidden_norm=57.5949=alpha=92.1519,0.01453857310116291,0.04466358199715614,40,True
10,2.4,k=2.4*mean_hidden_norm=57.5949=alpha=138.2278,0.0012384181609377265,0.04246918484568596,40,False
10,3.2,k=3.2*mean_hidden_norm=57.5949=alpha=184.3037,0.0006049245712347329,0.05976765975356102,40,False
10,4.8,k=4.8*mean_hidden_norm=57.5949=alpha=276.4556,-0.00012290924496483058,0.08292044699192047,40,False
10,6.4,k=6.4*mean_hidden_norm=57.5949=alpha=368.6074,-0.007411628030240536,0.09861624240875244,40,False
10,8.0,k=8.0*mean_hidden_norm=57.5949=alpha=460.7593,-0.016026893630623817,0.07738465070724487,40,False
12,0.05,k=0.05*mean_hidden_norm=91.5555=alpha=4.5778,0.002554242266342044,0.014565213583409786,40,False
12,0.1,k=0.1*mean_hidden_norm=91.5555=alpha=9.1555,0.0013241173001006246,0.020371751859784126,40,False
12,0.2,k=0.2*mean_hidden_norm=91.5555=alpha=18.3111,0.008946558460593224,0.035463184118270874,40,True
12,0.3,k=0.3*mean_hidden_norm=91.5555=alpha=27.4666,0.00820413138717413,0.04716239497065544,40,False
12,0.4,k=0.4*mean_hidden_norm=91.5555=alpha=36.6222,0.002660797443240881,0.04786992818117142,40,False
12,0.6,k=0.6*mean_hidden_norm=91.5555=alpha=54.9333,0.0016961336368694901,0.0486801452934742,40,False
